Trial,Goal_X,Goal_Y,Goal_Z,Base_Success,Base_Time,Base_Nodes,Base_Tunneling,SCA_Success,SCA_Time,SCA_Nodes
23,0.01053059872221214,0.0037228025450718387,0.6392671572091186,True,0.000,2,False,True,0.001,3
24,-8.50536764870412e-05,0.015234222185019491,0.5464903958169508,True,0.075,306,False,True,0.083,110
25,0.13504625617898394,0.18843529454866226,0.5842803756792079,True,0.003,40,False,True,0.025,36
26,0.20362897790609555,-0.2850754245929131,0.4702433869363751,True,0.175,488,False,True,0.036,51
27,-0.11417960500545746,-0.047485573935910165,0.5909366842591097,True,0.030,170,False,True,0.015,22
28,-0.3955384492443664,0.2422777636107675,0.3494967161613646,True,0.814,1121,False,True,6.394,2606
29,0.1929195402696056,-0.03819711220063919,0.5718130576457101,True,0.067,287,False,True,0.018,25
30,-0.13228875440754925,-0.17827234278674717,0.5804098669670786,True,0.012,100,False,True,0.044,61
31,-0.20593255118985465,0.1712655533244474,0.39613504212426875,True,2.821,2111,False,True,3.843,1951
32,0.09287218370330602,-0.4929304725333475,0.1933195203055563,True,5.922,3079,False,True,0.765,675
33,-0.02617526343056071,-0.07917061523970606,0.5004964836110848,True,0.909,1186,False,True,0.969,813
34,-0.15239221669767758,0.25160008053388033,0.5433923892575576,True,0.085,326,False,True,0.106,138
35,-0.184932996765034,0.008787257001104162,0.5752053889371628,True,0.087,327,False,True,0.907,768
36,0.041277856434073674,0.14254935251237874,0.4440330830728581,True,0.962,1224,False,True,12.130,3736
37,-0.05366925087842947,0.0309317324493366,0.465634564623293,False,14.855,4866,False,True,4.307,2086
38,0.017388380427585157,0.3209460460928088,0.2479689305949157,False,14.838,4859,False,True,12.163,3748
39,-0.13030455095236024,0.4476357338756619,0.2989157183568965,True,0.058,259,False,True,0.714,654
40,0.02077480164761324,0.014334087640913973,0.6405790084630092,True,0.000,4,False,True,0.000,2
41,-0.004086679814564943,-0.10675578824321351,0.6165145801306244,True,0.015,116,False,True,0.081,106
42,-0.053009224410646975,0.49103951318966466,0.2355845437595878,True,1.273,1410,True,True,2.529,1505
43,0.0048164374377201915,0.015343439240666255,0.5596238626239627,True,0.072,293,False,True,0.216,257
44,0.14097220698772028,-0.1892414218023153,0.4638587889584904,True,1.181,1358,True,True,1.525,1083
45,-0.39757074481193494,-0.1765515021174583,0.019645791490492365,True,1.600,1582,False,True,1.968,1292
46,-0.2037039251366879,-0.1562702214885717,0.4766436110671346,True,1.655,1613,False,True,0.977,801
47,0.2820429921092079,-0.18397705892280677,0.46050921159604635,True,0.545,907,False,True,0.254,294
48,-0.38195566873489706,0.10494198000532047,0.29533446895917753,True,1.763,1667,False,True,11.825,3671
49,-0.11359414985785257,0.03557577264506256,0.6224465626236443,True,0.003,35,False,True,0.492,495
50,0.02017564505271387,-0.45328529937086476,0.3745227399723907,True,0.078,310,False,True,7.418,2852
51,-0.36981549830944294,0.0671267123335688,0.316513809581405,True,0.868,1157,False,True,0.469,477
52,-0.040344873713504585,0.24762446211876957,0.511352022898447,True,0.323,686,False,True,1.774,1195
53,0.067468471894933,-0.04538054667483947,0.6320470124063575,True,0.000,11,False,True,0.002,4
54,-0.055119417175598456,0.25058385875466327,0.49024022291748104,True,0.836,1137,False,True,1.670,1159
55,-0.4447790857289267,0.05852041271901017,0.3827307524489979,True,7.774,3516,False,True,0.285,322
56,-0.20841665581325017,-0.35969595637869817,0.24738797637716997,True,1.436,1498,True,False,15.846,4260
57,0.0737247937628538,-0.256749972565967,0.41858463218951497,True,3.422,2331,False,True,4.390,2067
58,-0.39713713427232417,0.2531301505669681,0.3371076478276649,True,0.598,940,False,True,0.798,710
59,-0.3733082624773845,0.3106237596060391,0.2887115186428487,True,0.163,472,False,True,0.473,480
60,0.2794681529267237,0.021733297470480674,0.5539534214120152,True,1.053,1278,False,True,2.843,1636
61,-0.35607648527776664,0.009754857466779758,0.11495822977999456,False,14.874,4880,False,True,1.198,925
62,-0.39451284981648893,-0.23412144142307473,0.3326482478830683,True,0.024,155,False,True,0.782,700
63,0.046335113057375116,-0.07235990682891395,0.45983541417382534,True,3.554,2364,True,True,4.202,2049
64,0.36336575588564096,0.16718470543359412,0.3771098820714581,True,1.405,1482,True,True,0.429,447
65,0.44944692921159674,0.04770711957545613,0.3222812860992588,True,0.076,304,False,True,7.160,2771
66,-0.19259104673743047,-0.10362931146961722,0.40629636258344665,True,8.134,3569,False,True,10.319,3394
67,-0.018102686722490456,-0.2643113621055158,0.49056732052684116,True,0.428,796,False,True,0.757,671
68,0.02084067304795196,-0.03627390503899585,0.5199803916580574,True,0.118,392,False,True,0.426,440
69,0.40451300269163026,0.12590918830902714,0.4159746148012271,True,2.664,2048,True,True,13228.464,2542
70,-0.2640086865520335,-0.1589472760079598,0.4046452337620687,True,3.534,2192,True,True,5.481,2298
71,-0.21274007441904622,-0.014525261735970239,0.5960783591765249,True,0.226,550,False,True,0.238,264
72,0.11576645887335768,0.0637239481306988,0.6187871875159394,True,0.001,12,False,True,0.007,12
73,0.04937073978239847,-0.0879653985470054,0.6276462577443905,True,0.011,86,False,True,0.016,22
74,0.2270930821252819,-0.39382569732642675,0.36547081375070156,True,3.401,2293,False,True,2.002,1294
75,0.08760669997638244,0.14646849992389507,0.5407640419246664,True,0.145,443,False,True,0.554,526
76,-0.15261459883513923,-0.10171270140564559,0.5852565620998356,True,0.015,105,False,True,0.157,194
77,0.10506410419789622,-0.16697296938054035,0.5850682661855426,True,0.005,51,False,True,0.031,41
78,0.3282922951668319,0.28928930160464433,0.20923864079772464,True,0.356,718,False,True,1.219,934
79,-0.020749298690343303,0.06676696853616189,0.5028606049513558,True,4.050,2528,True,True,2.980,1666
80,-0.4439631553906034,0.09999123901585762,0.3594974154112893,True,3.169,2240,False,True,5.515,2379
