Trial,Goal_X,Goal_Y,Goal_Z,Base_Success,Base_Time,Base_Nodes,Base_Tunneling,SCA_Success,SCA_Time,SCA_Nodes
51,0.10917499214958806,0.18092609066354703,0.5908711570827867,True,0.034,188,False,True,0.083,109
52,-0.48545332649592887,0.0344018147159788,0.06059532252198241,False,15.208,4872,False,True,7.973,2874
53,0.03569374087957574,0.10877167416465969,0.628671893257825,True,0.003,41,False,True,0.059,79
54,-0.39357383591105577,0.1542288618713417,0.04834242449737175,True,2.488,1966,False,True,4.654,2138
55,-0.03682014374877099,0.23860425147962186,0.37589130482087224,True,12.651,4379,False,True,10.714,3420
56,-0.282300882780032,0.22413969449223256,0.4698788897174061,True,0.342,698,False,True,0.572,546
57,0.05796509240899241,-0.03980470504309586,0.5244543231088794,True,0.311,648,False,True,0.164,201
58,-0.10666733109011516,-0.05305069886712154,0.5541456963076549,True,0.227,563,False,True,0.548,520
59,-0.01567978427621079,-0.4607622008487424,0.3602780954968016,True,0.438,796,False,True,0.334,359
60,0.13215470517948605,0.34489870631899855,0.18588227447780653,False,15.155,4858,False,True,12.440,3743
61,-0.41121758695250854,-0.2198646147594093,0.14001432691034754,True,0.308,664,False,True,3.531,1813
62,0.13883767223533355,-0.10843804470160158,0.5851855997223729,True,0.001,15,False,True,0.008,12
63,-0.07190676354356043,0.14581636574236234,0.57465180069451,True,0.026,158,False,True,0.040,56
64,0.1295537977117572,-0.3723261800502257,0.2051122091810099,False,16.380,4879,False,True,1.676,1123
65,-0.30382312573337267,0.19756435860098975,0.33310546215672754,True,2.174,1827,False,True,2.497,1456
66,-0.4484943881156511,0.1144709683021145,0.037525781482872056,True,1.407,1458,False,True,3.622,1830
67,-0.17319268946647043,-0.4154309178122734,0.2827973371588945,True,0.072,296,True,True,0.299,332
68,0.022157227391397673,-0.05991312020549788,0.5674619031348942,True,0.075,299,False,True,0.213,249
69,-0.024324926624922822,-0.2706205022590587,0.33704350705519165,False,15.304,4878,False,False,16.620,4344
70,0.006256068743708846,0.39884565592368615,0.41249376355782663,True,0.065,278,False,True,0.499,495
71,0.10128724997947046,0.09917004459823303,0.6018433847254964,True,0.001,23,False,True,0.615,571
72,-0.2503729455428678,-0.047887449890910566,0.5011705885140478,True,0.302,656,False,True,5.861,2436
73,-0.26970058224659366,0.24165528868503783,0.34004756768154054,True,0.607,940,False,True,1.857,1218
74,0.15419664476871253,-0.16148925641737602,0.5748474872991747,True,0.071,294,True,True,0.099,129
75,-0.39524627184991673,0.03148719650531675,0.05217958343472867,True,0.314,668,False,False,18.239,4413
76,-0.13156818127022704,-0.23542192089781355,0.5632588007851883,True,0.006,59,False,True,0.031,41
77,0.13757847113894942,0.49025150186324307,0.2213691569604068,True,2.316,1868,False,True,2.146,1323
78,0.09359340998146591,0.2755112789383119,0.3631834073554712,True,8.163,3523,True,True,0.545,518
79,-0.05988790345585693,0.0491187677108839,0.6211849901508881,True,0.002,28,False,True,0.013,19
80,0.22842984094561278,-0.0852727587603065,0.47861525953079936,True,0.141,428,True,True,0.850,701
81,0.07969348014156268,0.20254620414203156,0.5633428221151352,True,0.023,146,False,True,0.154,187
82,-0.01913542548282869,-0.02646772776266083,0.5699904348424366,True,0.044,217,False,True,0.130,160
83,-0.012688758876621551,-0.15649373692851626,0.520624090153049,True,1.757,1621,False,True,1.410,995
84,-0.4069206640804767,0.028044010214263657,0.2006149367016966,False,15.531,4871,False,False,251.500,4385
85,-0.02612071044420115,-0.00960709076120283,0.5662525161283981,True,0.050,232,False,True,0.071,79
86,-0.18286294746024964,-0.12097808752847551,0.5900779564784903,True,0.407,734,False,True,0.102,126
87,-0.01529121954143348,-0.04406302004703954,0.6342455224558089,True,0.000,3,False,True,0.002,3
88,-0.4394840377622361,0.14810083148114747,0.345781386274421,True,8.691,2180,False,True,0.711,640
89,0.11369623498605962,0.012366187690586838,0.6271357305211118,True,0.000,2,False,True,0.028,39
90,0.21325678354086483,0.2992811156320019,0.11000393207232131,True,2.073,1789,False,True,2.301,1413
91,0.005875392567970665,0.18822171319896905,0.5486883443943992,True,1.005,1235,False,True,0.738,652
92,0.16046651662903866,0.46650807677225764,0.2614800675582335,True,1.510,1529,False,True,0.998,823
93,-0.4074823242353171,-0.026840046515867442,0.15001197572812644,True,1.167,1338,False,False,16.644,4408
94,0.03982712798550445,0.40581079115054697,0.398638551606762,True,1.088,1294,False,True,2.783,1575
95,0.2819481383070135,-0.040166097177724236,0.4310009327790586,True,3.135,2207,True,False,16.564,4398
96,-0.34783727867979713,-0.12749729365085138,0.3900575784444482,True,2.896,2124,False,True,7.773,2929
97,0.1737498050506846,0.3333022508679915,0.47024786018387427,True,0.171,482,False,True,0.286,321
98,0.3811562736771227,0.13959039191559042,0.43871609577733883,True,0.032,182,False,True,7.164,2766
99,-0.0956004995090536,-0.028001370336688376,0.6317416664202522,True,0.002,23,False,True,0.003,7
100,-0.05786051737791153,0.005612858062078056,0.6200868652147782,True,0.001,11,False,True,0.020,29
